,Links,DateTimeScraped,DateScraped,Price,Featured
29,https://www.rightmove.co.uk/properties/126730700#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0
68,https://www.rightmove.co.uk/properties/124149383#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,990000,0
92,https://www.rightmove.co.uk/properties/111885260#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,490000,0
97,https://www.rightmove.co.uk/properties/128650202#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,495000,0
9,https://www.rightmove.co.uk/properties/128759156#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,899950,0
158,https://www.rightmove.co.uk/properties/128578214#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1248000,0
78,https://www.rightmove.co.uk/properties/125347637#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0
154,https://www.rightmove.co.uk/properties/127925702#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1100000,0
128,https://www.rightmove.co.uk/properties/125188223#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0
65,https://www.rightmove.co.uk/properties/127605272#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,525000,0
106,https://www.rightmove.co.uk/properties/124441571#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,695000,0
119,https://www.rightmove.co.uk/properties/127127912#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,945000,0
116,https://www.rightmove.co.uk/properties/126813647#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1000000,0
70,https://www.rightmove.co.uk/properties/128649419#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1150000,0
130,https://www.rightmove.co.uk/properties/123282002#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,800000,0
121,https://www.rightmove.co.uk/properties/128717657#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,750000,0
109,https://www.rightmove.co.uk/properties/127529444#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,650000,0
31,https://www.rightmove.co.uk/properties/119449472#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,675000,0
39,https://www.rightmove.co.uk/properties/126701711#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,975000,0
16,https://www.rightmove.co.uk/properties/128737190#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,850000,0
21,https://www.rightmove.co.uk/properties/126974900#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,575000,0
102,https://www.rightmove.co.uk/properties/128631194#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,410000,0
142,https://www.rightmove.co.uk/properties/128514386#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1095000,0
53,https://www.rightmove.co.uk/properties/128755316#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,625000,0
61,https://www.rightmove.co.uk/properties/128727215#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,995000,0
44,https://www.rightmove.co.uk/properties/128637053#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1050000,0
146,https://www.rightmove.co.uk/properties/127903835#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,999950,0
46,https://www.rightmove.co.uk/properties/117746252#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,850000,0
85,https://www.rightmove.co.uk/properties/128611007#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,900000,0
140,https://www.rightmove.co.uk/properties/128657498#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1540000,0
2,https://www.rightmove.co.uk/properties/128784212#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1500000,0
60,https://www.rightmove.co.uk/properties/127072046#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,925000,0
115,https://www.rightmove.co.uk/properties/128779781#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,565000,0
18,https://www.rightmove.co.uk/properties/128709038#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1100000,0
98,https://www.rightmove.co.uk/properties/128650085#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,725000,0
10,https://www.rightmove.co.uk/properties/126869717#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1500000,0
131,https://www.rightmove.co.uk/properties/125998358#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,850000,0
159,https://www.rightmove.co.uk/properties/128567774#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,850000,0
83,https://www.rightmove.co.uk/properties/128495300#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,450000,0
151,https://www.rightmove.co.uk/properties/128602151#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,550000,0
7,https://www.rightmove.co.uk/properties/127491659#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1300000,0
111,https://www.rightmove.co.uk/properties/127087031#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,575000,0
43,https://www.rightmove.co.uk/properties/128637140#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,875000,0
167,https://www.rightmove.co.uk/properties/128573969#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1050000,0
38,https://www.rightmove.co.uk/properties/128660069#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,700000,0
54,https://www.rightmove.co.uk/properties/128161331#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,550000,0
133,https://www.rightmove.co.uk/properties/128675981#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,360000,0
1,https://www.rightmove.co.uk/properties/128784215#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1350000,0
143,https://www.rightmove.co.uk/properties/128636930#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,975000,0
103,https://www.rightmove.co.uk/properties/128625551#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,709000,0
145,https://www.rightmove.co.uk/properties/128632772#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,800000,0
55,https://www.rightmove.co.uk/properties/128754359#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1280000,0
136,https://www.rightmove.co.uk/properties/128665187#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1165000,0
155,https://www.rightmove.co.uk/properties/127471637#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,999950,0
32,https://www.rightmove.co.uk/properties/128253689#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,599999,0
71,https://www.rightmove.co.uk/properties/127128431#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,895000,0
89,https://www.rightmove.co.uk/properties/128577236#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,925000,0
129,https://www.rightmove.co.uk/properties/127861970#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1750000,0
51,https://www.rightmove.co.uk/properties/128760023#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,695000,0
56,https://www.rightmove.co.uk/properties/118425230#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,600000,0
59,https://www.rightmove.co.uk/properties/128116316#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0
66,https://www.rightmove.co.uk/properties/127674818#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1695000,0
73,https://www.rightmove.co.uk/properties/128471222#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,625000,0
166,https://www.rightmove.co.uk/properties/128392529#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,600000,0
123,https://www.rightmove.co.uk/properties/126906980#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,799950,0
45,https://www.rightmove.co.uk/properties/128634977#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0
101,https://www.rightmove.co.uk/properties/128290691#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,650000,0
132,https://www.rightmove.co.uk/properties/128677412#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,360000,0
67,https://www.rightmove.co.uk/properties/128673512#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,975000,0
141,https://www.rightmove.co.uk/properties/128644337#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1070000,0
14,https://www.rightmove.co.uk/properties/128706479#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1249000,0
27,https://www.rightmove.co.uk/properties/128696828#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,780000,0
40,https://www.rightmove.co.uk/properties/128654687#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,549000,0
