,Links,DateTimeScraped,DateScraped,Price,Featured
7,https://www.rightmove.co.uk/properties/130057112#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,3000000,0
60,https://www.rightmove.co.uk/properties/126771329#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,525000,0
1,https://www.rightmove.co.uk/properties/130074644#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,1350000,0
27,https://www.rightmove.co.uk/properties/129182156#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,1500000,0
67,https://www.rightmove.co.uk/properties/127471637#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,950000,0
31,https://www.rightmove.co.uk/properties/129898637#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,1000000,0
24,https://www.rightmove.co.uk/properties/129941639#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,625000,0
39,https://www.rightmove.co.uk/properties/129975974#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,475000,0
64,https://www.rightmove.co.uk/properties/125352659#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,500000,0
61,https://www.rightmove.co.uk/properties/84993513#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,500000,0
57,https://www.rightmove.co.uk/properties/129982316#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,600000,0
3,https://www.rightmove.co.uk/properties/130069880#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,675000,0
62,https://www.rightmove.co.uk/properties/128304275#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,500000,0
65,https://www.rightmove.co.uk/properties/129317729#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,795000,0
23,https://www.rightmove.co.uk/properties/129943604#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,750000,0
11,https://www.rightmove.co.uk/properties/129986810#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,925000,0
43,https://www.rightmove.co.uk/properties/129898580#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,800000,0
33,https://www.rightmove.co.uk/properties/130078700#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,550000,0
55,https://www.rightmove.co.uk/properties/129516236#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,525000,0
30,https://www.rightmove.co.uk/properties/129901460#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,1000000,0
20,https://www.rightmove.co.uk/properties/128334140#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,1225000,0
50,https://www.rightmove.co.uk/properties/130020341#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,850000,0
47,https://www.rightmove.co.uk/properties/129539237#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,1260000,0
46,https://www.rightmove.co.uk/properties/130053272#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,1150000,0
35,https://www.rightmove.co.uk/properties/129567332#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,675000,0
40,https://www.rightmove.co.uk/properties/126707132#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,470000,0
4,https://www.rightmove.co.uk/properties/128840831#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,825000,0
54,https://www.rightmove.co.uk/properties/128634974#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,685000,0
9,https://www.rightmove.co.uk/properties/129489287#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,700000,0
18,https://www.rightmove.co.uk/properties/129958421#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,850000,0
41,https://www.rightmove.co.uk/properties/129924350#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,475000,0
13,https://www.rightmove.co.uk/properties/129983330#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,800000,0
68,https://www.rightmove.co.uk/properties/124925021#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,500000,0
8,https://www.rightmove.co.uk/properties/130023353#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,800000,0
17,https://www.rightmove.co.uk/properties/128750081#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,800000,0
14,https://www.rightmove.co.uk/properties/129976283#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,630000,0
15,https://www.rightmove.co.uk/properties/125089124#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,2350000,0
37,https://www.rightmove.co.uk/properties/130068875#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,450000,0
49,https://www.rightmove.co.uk/properties/129093017#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,950000,0
56,https://www.rightmove.co.uk/properties/129971234#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,1150000,0
52,https://www.rightmove.co.uk/properties/129998543#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,1250000,0
34,https://www.rightmove.co.uk/properties/129758423#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,500000,0
51,https://www.rightmove.co.uk/properties/130010843#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,1080000,0
26,https://www.rightmove.co.uk/properties/129088841#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,799950,0
12,https://www.rightmove.co.uk/properties/129984854#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,780000,0
48,https://www.rightmove.co.uk/properties/130044287#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,1300000,0
22,https://www.rightmove.co.uk/properties/128477450#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,750000,0
58,https://www.rightmove.co.uk/properties/125925287#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,675000,0
38,https://www.rightmove.co.uk/properties/128013731#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,900000,0
45,https://www.rightmove.co.uk/properties/130062992#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,750000,0
21,https://www.rightmove.co.uk/properties/125515076#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,749950,0
10,https://www.rightmove.co.uk/properties/129995432#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,900000,0
42,https://www.rightmove.co.uk/properties/129916472#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,675000,0
53,https://www.rightmove.co.uk/properties/129989474#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,520000,0
19,https://www.rightmove.co.uk/properties/129958289#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,1700000,0
71,https://www.rightmove.co.uk/properties/129970412#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,565000,0
6,https://www.rightmove.co.uk/properties/126610721#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,1175000,0
28,https://www.rightmove.co.uk/properties/129919556#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,725000,0
29,https://www.rightmove.co.uk/properties/129164762#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,799999,0
2,https://www.rightmove.co.uk/properties/130070435#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,625000,0
16,https://www.rightmove.co.uk/properties/129968672#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,875000,0
70,https://www.rightmove.co.uk/properties/124695443#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,500000,0
59,https://www.rightmove.co.uk/properties/129960281#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,800000,0
66,https://www.rightmove.co.uk/properties/128600426#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,1400000,0
5,https://www.rightmove.co.uk/properties/130061189#/?channel=RES_BUY,2022-12-18 10:33:00,2022-12-18,800000,0
72,https://www.rightmove.co.uk/properties/120500534#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,750000,0
63,https://www.rightmove.co.uk/properties/129925469#/?channel=RES_BUY,2022-12-18 10:34:00,2022-12-18,360000,0
