,Date,Average Price,Median Price,10th Percentile,90th Percentile,Std dev,Sample Size
0,06/11/2022,867789.56,850000.0,524000.0,1250000.0,303834.617,120
1,13/11/2022,952266.24,875000.0,497500.0,1477500.0,448923.051,120
2,20/11/2022,871647.03,812500.0,500000.0,1254500.0,327990.409,120
3,27/11/2022,898337.72,850000.0,532500.0,1335000.0,324512.391,114
4,04/12/2022,890525.88,820000.0,500000.0,1345000.0,347098.867,112
5,11/12/2022,827932.29,795000.0,479500.0,1250000.0,306829.606,82
6,18/12/2022,863356.7,795000.0,500000.0,1276000.0,426277.487,67
7,08/01/2023,884247.29,825000.0,500000.0,1300000.0,356763.089,102
8,15/01/2023,899093.86,825000.0,500000.0,1350000.0,406156.772,120
9,22/01/2023,901367.39,825000.0,500000.0,1350000.0,405860.896,120
10,29/01/2023,906013.05,825000.0,500000.0,1350000.0,405016.551,120
11,05/02/2023,906758.87,825000.0,500000.0,1369000.0,417612.151,120
