,Unnamed: 0,Links,DateTimeScraped,DateScraped,Price,Featured,Year,Month,WeekNumber,Fortnight
0,0,https://www.rightmove.co.uk/properties/126730700#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0,2022,11-2022,45,22
1,1,https://www.rightmove.co.uk/properties/124149383#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,990000,0,2022,11-2022,45,22
2,2,https://www.rightmove.co.uk/properties/111885260#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,490000,0,2022,11-2022,45,22
3,3,https://www.rightmove.co.uk/properties/128650202#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,495000,0,2022,11-2022,45,22
4,4,https://www.rightmove.co.uk/properties/128759156#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,899950,0,2022,11-2022,45,22
5,5,https://www.rightmove.co.uk/properties/128578214#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1248000,0,2022,11-2022,45,22
6,6,https://www.rightmove.co.uk/properties/125347637#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0,2022,11-2022,45,22
7,7,https://www.rightmove.co.uk/properties/127925702#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1100000,0,2022,11-2022,45,22
8,8,https://www.rightmove.co.uk/properties/125188223#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0,2022,11-2022,45,22
9,9,https://www.rightmove.co.uk/properties/127605272#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,525000,0,2022,11-2022,45,22
10,10,https://www.rightmove.co.uk/properties/124441571#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,695000,0,2022,11-2022,45,22
11,11,https://www.rightmove.co.uk/properties/127127912#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,945000,0,2022,11-2022,45,22
12,12,https://www.rightmove.co.uk/properties/126813647#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1000000,0,2022,11-2022,45,22
13,13,https://www.rightmove.co.uk/properties/128649419#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1150000,0,2022,11-2022,45,22
14,14,https://www.rightmove.co.uk/properties/123282002#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,800000,0,2022,11-2022,45,22
15,15,https://www.rightmove.co.uk/properties/128717657#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,750000,0,2022,11-2022,45,22
16,16,https://www.rightmove.co.uk/properties/127529444#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,650000,0,2022,11-2022,45,22
17,17,https://www.rightmove.co.uk/properties/119449472#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,675000,0,2022,11-2022,45,22
18,18,https://www.rightmove.co.uk/properties/126701711#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,975000,0,2022,11-2022,45,22
19,19,https://www.rightmove.co.uk/properties/128737190#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,850000,0,2022,11-2022,45,22
20,20,https://www.rightmove.co.uk/properties/126974900#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,575000,0,2022,11-2022,45,22
21,21,https://www.rightmove.co.uk/properties/128631194#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,410000,0,2022,11-2022,45,22
22,22,https://www.rightmove.co.uk/properties/128514386#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1095000,0,2022,11-2022,45,22
23,23,https://www.rightmove.co.uk/properties/128755316#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,625000,0,2022,11-2022,45,22
24,24,https://www.rightmove.co.uk/properties/128727215#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,995000,0,2022,11-2022,45,22
